command,man_page_url
dpkg-checkbuilddeps,https://man7.org/linux/man-pages/man1/dpkg-checkbuilddeps.1.html
dpkg-deb,https://man7.org/linux/man-pages/man1/dpkg-deb.1.html
dpkg-distaddfile,https://man7.org/linux/man-pages/man1/dpkg-distaddfile.1.html
dpkg-divert,https://man7.org/linux/man-pages/man1/dpkg-divert.1.html
dpkg-genbuildinfo,https://man7.org/linux/man-pages/man1/dpkg-genbuildinfo.1.html
dpkg-genchanges,https://man7.org/linux/man-pages/man1/dpkg-genchanges.1.html
dpkg-gencontrol,https://man7.org/linux/man-pages/man1/dpkg-gencontrol.1.html
dpkg-gensymbols,https://man7.org/linux/man-pages/man1/dpkg-gensymbols.1.html
dpkg-maintscript-helper,https://man7.org/linux/man-pages/man1/dpkg-maintscript-helper.1.html
dpkg-mergechangelogs,https://man7.org/linux/man-pages/man1/dpkg-mergechangelogs.1.html
dpkg-name,https://man7.org/linux/man-pages/man1/dpkg-name.1.html
dpkg-parsechangelog,https://man7.org/linux/man-pages/man1/dpkg-parsechangelog.1.html
dpkg-query,https://man7.org/linux/man-pages/man1/dpkg-query.1.html
dpkg-scanpackages,https://man7.org/linux/man-pages/man1/dpkg-scanpackages.1.html
dpkg-scansources,https://man7.org/linux/man-pages/man1/dpkg-scansources.1.html
dpkg-shlibdeps,https://man7.org/linux/man-pages/man1/dpkg-shlibdeps.1.html
dpkg-source,https://man7.org/linux/man-pages/man1/dpkg-source.1.html
dpkg-split,https://man7.org/linux/man-pages/man1/dpkg-split.1.html
dpkg-statoverride,https://man7.org/linux/man-pages/man1/dpkg-statoverride.1.html
dpkg-trigger,https://man7.org/linux/man-pages/man1/dpkg-trigger.1.html
dpkg-vendor,https://man7.org/linux/man-pages/man1/dpkg-vendor.1.html
dpkg,https://man7.org/linux/man-pages/man1/dpkg.1.html
dselect,https://man7.org/linux/man-pages/man1/dselect.1.html
dtrace,https://man7.org/linux/man-pages/man1/dtrace.1.html
du,https://man7.org/linux/man-pages/man1/du.1.html
du,https://man7.org/linux/man-pages/man1/du.1p.html
dumpkeys,https://man7.org/linux/man-pages/man1/dumpkeys.1.html
echo,https://man7.org/linux/man-pages/man1/echo.1.html
echo,https://man7.org/linux/man-pages/man1/echo.1p.html
ed,https://man7.org/linux/man-pages/man1/ed.1p.html
egrep,https://man7.org/linux/man-pages/man1/egrep.1.html
eject,https://man7.org/linux/man-pages/man1/eject.1.html
elfedit,https://man7.org/linux/man-pages/man1/elfedit.1.html
env,https://man7.org/linux/man-pages/man1/env.1.html
env,https://man7.org/linux/man-pages/man1/env.1p.html
envsubst,https://man7.org/linux/man-pages/man1/envsubst.1.html
eqn,https://man7.org/linux/man-pages/man1/eqn.1.html
eqn2graph,https://man7.org/linux/man-pages/man1/eqn2graph.1.html
eval,https://man7.org/linux/man-pages/man1/eval.1p.html
ex,https://man7.org/linux/man-pages/man1/ex.1p.html
exec,https://man7.org/linux/man-pages/man1/exec.1p.html
exit,https://man7.org/linux/man-pages/man1/exit.1p.html
expand,https://man7.org/linux/man-pages/man1/expand.1.html
expand,https://man7.org/linux/man-pages/man1/expand.1p.html
expect,https://man7.org/linux/man-pages/man1/expect.1.html
expiry,https://man7.org/linux/man-pages/man1/expiry.1.html
export,https://man7.org/linux/man-pages/man1/export.1p.html
expr,https://man7.org/linux/man-pages/man1/expr.1.html
expr,https://man7.org/linux/man-pages/man1/expr.1p.html
factor,https://man7.org/linux/man-pages/man1/factor.1.html
fallocate,https://man7.org/linux/man-pages/man1/fallocate.1.html
false,https://man7.org/linux/man-pages/man1/false.1.html
false,https://man7.org/linux/man-pages/man1/false.1p.html
fc,https://man7.org/linux/man-pages/man1/fc.1p.html
fedabipkgdiff,https://man7.org/linux/man-pages/man1/fedabipkgdiff.1.html
fg,https://man7.org/linux/man-pages/man1/fg.1p.html
fgconsole,https://man7.org/linux/man-pages/man1/fgconsole.1.html
fgrep,https://man7.org/linux/man-pages/man1/fgrep.1.html
file,https://man7.org/linux/man-pages/man1/file.1.html
file,https://man7.org/linux/man-pages/man1/file.1p.html
fincore,https://man7.org/linux/man-pages/man1/fincore.1.html
find-filter,https://man7.org/linux/man-pages/man1/find-filter.1.html
find-repos-of-install,https://man7.org/linux/man-pages/man1/find-repos-of-install.1.html
find,https://man7.org/linux/man-pages/man1/find.1.html
find,https://man7.org/linux/man-pages/man1/find.1p.html
Firecfg,https://man7.org/linux/man-pages/man1/Firecfg.1.html
firecfg,https://man7.org/linux/man-pages/man1/firecfg.1.html
Firejail,https://man7.org/linux/man-pages/man1/Firejail.1.html
firejail,https://man7.org/linux/man-pages/man1/firejail.1.html
Firemon,https://man7.org/linux/man-pages/man1/Firemon.1.html
firemon,https://man7.org/linux/man-pages/man1/firemon.1.html
flock,https://man7.org/linux/man-pages/man1/flock.1.html
fmt,https://man7.org/linux/man-pages/man1/fmt.1.html
fold,https://man7.org/linux/man-pages/man1/fold.1.html
fold,https://man7.org/linux/man-pages/man1/fold.1p.html
fort77,https://man7.org/linux/man-pages/man1/fort77.1p.html
free,https://man7.org/linux/man-pages/man1/free.1.html
fuse2fs,https://man7.org/linux/man-pages/man1/fuse2fs.1.html
fuser,https://man7.org/linux/man-pages/man1/fuser.1.html
fuser,https://man7.org/linux/man-pages/man1/fuser.1p.html
fusermount3,https://man7.org/linux/man-pages/man1/fusermount3.1.html
g++,https://man7.org/linux/man-pages/man1/g++.1.html
galera_new_cluster,https://man7.org/linux/man-pages/man1/galera_new_cluster.1.html
galera_recovery,https://man7.org/linux/man-pages/man1/galera_recovery.1.html
ganglia2pcp,https://man7.org/linux/man-pages/man1/ganglia2pcp.1.html
gawk,https://man7.org/linux/man-pages/man1/gawk.1.html
gcc,https://man7.org/linux/man-pages/man1/gcc.1.html
gcore,https://man7.org/linux/man-pages/man1/gcore.1.html
gcov-dump,https://man7.org/linux/man-pages/man1/gcov-dump.1.html
gcov-tool,https://man7.org/linux/man-pages/man1/gcov-tool.1.html
gcov,https://man7.org/linux/man-pages/man1/gcov.1.html
gdb-add-index,https://man7.org/linux/man-pages/man1/gdb-add-index.1.html
gdb,https://man7.org/linux/man-pages/man1/gdb.1.html
gdbserver,https://man7.org/linux/man-pages/man1/gdbserver.1.html
gdiffmk,https://man7.org/linux/man-pages/man1/gdiffmk.1.html
genbrk,https://man7.org/linux/man-pages/man1/genbrk.1.html
gencat,https://man7.org/linux/man-pages/man1/gencat.1p.html
gencfu,https://man7.org/linux/man-pages/man1/gencfu.1.html
gencnval,https://man7.org/linux/man-pages/man1/gencnval.1.html
gendict,https://man7.org/linux/man-pages/man1/gendict.1.html
gendiff,https://man7.org/linux/man-pages/man1/gendiff.1.html
genload,https://man7.org/linux/man-pages/man1/genload.1.html
genpmda,https://man7.org/linux/man-pages/man1/genpmda.1.html
genrb,https://man7.org/linux/man-pages/man1/genrb.1.html
get,https://man7.org/linux/man-pages/man1/get.1p.html
getconf,https://man7.org/linux/man-pages/man1/getconf.1p.html
getent,https://man7.org/linux/man-pages/man1/getent.1.html
getfacl,https://man7.org/linux/man-pages/man1/getfacl.1.html
getfattr,https://man7.org/linux/man-pages/man1/getfattr.1.html
getopt,https://man7.org/linux/man-pages/man1/getopt.1.html
getopts,https://man7.org/linux/man-pages/man1/getopts.1p.html
gettext,https://man7.org/linux/man-pages/man1/gettext.1.html
